tablet_num	subject	relation_type	object	subject_tag	object_tag
P137590	...	nin	1(asz)	PN	NU
P137593	lu2-...	dumu	i-szar-i3-li2	PN	PN
P137598	dub-sar	dumu	...	N	PN
P137603	dub-sar	dumu	ri-szi-in	N	PN
P137605	de2-{d}iszkur	dumu	szesz-a-ni	PN	N
P137608	dub-sar	dumu	al-la	N	V
P137609	dub-sar	dumu	ur-{d}szul-pa-e3	N	PN
P137610	si-{d}iszkur	dumu	szul-la-x	PN	PN
P137611	dub-sar	dumu	al-la	N	V
P137613	dub-sar	dumu	nam-zi-tar-ra	N	PN
P137616	ur-mes	dumu	gi-ne2	PN	PN
P137622	ur-e2-an-na	dumu	e2-ur3-bi-du10	PN	PN
P137625	ba-sa6-na	dumu	mi-...	PN	V
P137640	dub-sar	dumu	ur-nigar{gar}	N	PN
P137643	dub-sar	dumu	sza3-da	N	PN
P137645	dub-sar	dumu	he2-sa6-ge	N	PN
P137652	dub-sar	dumu	lu2-giri17-zal	N	PN
P137657	dub-sar	dumu	hu-ru	N	PN
P137658	x-dub-sza3-za	dumu	da-gal	PN	N
P137659	nu-banda3-gu4	dumu	lugal-dingir-mu	N	PN
P137661	dub-sar	dumu	lu2-za-i3-sa6	N	PN
P137666	{d}nanna-sa6-ga	dumu	ur-si-gar	PN	PN
P137667	x-x	dumu	na-da-ak	PN	PN
P137668	engar	dumu	lu2-me-lam2	N	PN
P137669	dub-sar	dumu	lu2-du11-ga	N	PN
P137676	nigin9	dumu	kun-a-...	FN	PN
P137677	u3	dam	na-ba-{d}da-ba-ba-sze3	CNJ	PN
P137682	a-sza3	dumu	an-na	N	N
P137682	um-mi-nu-nu	dam	ri-ba-ga-da	PN	PN
P137684	dub-sar	dumu	ur-{d}sza-u18-sza	N	PN
P137689	en-um-i3-li2	dumu	...	PN	PN
P137692	ARAD2-mu	dumu	ur-esz2-dam	PN	PN
P137694	a-hu-ni	dumu	lugal	PN	N
P137697	a-hu-ni	dumu	lugal	PN	N
P137697	ur-{d}nin-szubur	dumu	giri3-ni	PN	N
P137697	lu2-dingir-ra	dumu	nam-kun-sze3	PN	N
P137698	lu2-giri17-zal	dumu	lugal-{d}x	PN	PN
P137699	dub-sar	dumu	ur-{d}szul-pa-e3	N	PN
P137700	dub-sar	dumu	ur-{d}szul-pa-e3	N	PN
P137701	dub-sar	dumu	ur-{d}szul-pa-e3	N	PN
P137703	dub-sar	dumu	ar-zi-ni	N	PN
P137705	dub-sar	dumu	lu2-sa6-ga	N	PN
P137708	wa-qar-tum	e2-gi4-a	ur-mes	PN	PN
P137708	geme2-{d}en-lil2-la2	nin	hu-zu-uz-za-ra-ri-isz	PN	PN
